,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
2300,Гум,"('59.9937587,30.1931236', '19:11')",Юбка,Miss Selfridge,5469154260765493,60,1105
2301,Citilink,"('59.9992825,30.3597408', '19:16')",Монитор,Acer,4272977268478127,20,20000
2302,Familia,"('59.92634555,30.32030116', '11:53')",Футболка,Claudie Pierlot,4279610255398891,23,5100
2303,Fab Store,"('59.9302169,30.3246437', '11:30')",Штаны,Simone Rocha,4279425498507276,66,1200
2304,Code7,"('59.9595411,30.3145212', '11:19')",Пальто,Warehouse,4272889733201431,14,6400
2305,Familia,"('59.92634555,30.32030116', '11:53')",Шорты,Hobbs,4274182236287720,76,200
2306,123.ru,"('59.90625125,29.70726325', '17:26')",Пылесос,Apple,5469997167779760,45,3000
2307,Спутник,"('59.9189277,30.346303', '12:43')",Пудра,ColourPop,5189668926293269,82,2395
2308,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тональник,Makeup Geek,4279968001186301,39,99
2309,Fab Store,"('59.9302169,30.3246437', '11:30')",Шляпа,Stella McCartney,4279710443173773,18,500
2310,PiterGSM,"('59.9323949,30.3661284', '11:54')",Принтер,Nexen,4279563700098637,99,301
2311,Технопарк,"('59.90775075,30.32520831', '21:03')",Видеокамера,Artec,4279338275794169,34,60805
2312,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Румяна,Sugarpill,4279752336292247,50,805
2313,Code7,"('59.9595411,30.3145212', '11:19')",Юбка,Baukjen,4272876207390036,59,195
2314,Citilink,"('59.9992825,30.3597408', '19:16')",Смартфон,HyperX,5106876251687204,69,154999
2315,М.Видео,"('59.9907784,30.2061089', '15:19')",Принтер,Realme,4279351114478317,86,6400
2316,Gate31,"('59.9307242,30.345161', '18:45')",Блузка,Alexander Wang,4274301713047840,23,1895
2317,Гум,"('59.9937587,30.1931236', '19:11')",Свитер,Joie,4274427403838463,37,2395
2318,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Пудра,Briogeo,5106286787789187,39,2300
2319,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Основа,Pat McGrath Labs,5106958617182044,17,900
2320,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Парфюм,Burt's Bees,4274669651908983,11,10800
2321,SMEG,"('59.9547305,30.3265232', '16:24')",Гарнитура,Gigabyte,5106198409770361,49,3300
2322,Спутник,"('59.9189277,30.346303', '12:43')",Консилер,Becca Cosmetics,4279875426407260,87,500
2323,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Румяна,Bobbi Brown,4274144675666076,18,599
2324,PiterGSM,"('59.9323949,30.3661284', '11:54')",Пылесос,Apple,4274757715048789,93,5395
2325,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Гель,Maybelline,4274247416915553,40,5
2326,Familia,"('59.92634555,30.32030116', '11:53')",Жилет,Tibi,5106166803614555,71,1799
2327,Sephora,"('59.92824665,30.35999192', '16:15')",Блеск,Dr. Dennis Gross Skincare,4272565077216726,15,999
2328,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Крем,Mario Badescu,4279614551804234,49,1500
2329,М.Видео,"('59.9907784,30.2061089', '15:19')",Ноутбук,Cougar,5404753053572120,82,100599
2330,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,AmorePacific,5469699113299358,89,405
2331,Подружка,"('59.9604693,30.3164542', '20:09')",Лосьон,Yves Saint Laurent,5106222604560885,73,900
2332,Stokmann,"('59.9325138,30.3597223', '17:57')",Шапка,Barbour,4274633870434683,5,1000
2333,Эльдорадо,"('59.94584125,30.480875', '16:34')",Микроволновая печь,Huawei,4274291643809953,66,15201
2334,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шапка,See by Chloe,4274587857586611,41,95
2335,SMEG,"('59.9547305,30.3265232', '16:24')",Смартфон,Grundig,4274974442619811,92,3799
2336,Stokmann,"('59.9325138,30.3597223', '17:57')",Рубашка,Gap,5106462678552652,93,1699
2337,DNS,"('59.8835274,30.370143', '10:22')",Холодильник,Braun,4279303942854749,47,100500
2338,Stokmann,"('59.9325138,30.3597223', '17:57')",Блузка,Gucci,4274312754490485,66,3900
2339,Gate31,"('59.9307242,30.345161', '18:45')",Рубашка,Prabal Gurung,5106816344565515,86,4201
2340,Гум,"('59.9937587,30.1931236', '19:11')",Шарф,Citizens of Humanity,5404663539728318,43,200
2341,Gate31,"('59.9307242,30.345161', '18:45')",Ветровка,Maje,5404142944291002,6,5195
2342,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тушь,Anastasia Beverly Hills,4274790313718779,81,399
2343,SMEG,"('59.9547305,30.3265232', '16:24')",Планшет,Honeywell,5106603317108172,39,67300
2344,Подружка,"('59.9604693,30.3164542', '20:09')",Пудра,Kiehl's,4279190683208705,80,300
2345,Fab Store,"('59.9302169,30.3246437', '11:30')",Шорты,ASOS,4276577591395805,22,1201
2346,Gate31,"('59.9307242,30.345161', '18:45')",Джинсы,Hobbs,5404923094038969,32,9099
2347,Спутник,"('59.9189277,30.346303', '12:43')",Тушь,TheBalm,5106588508835285,31,205
2348,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Маскара,Burberry Beauty,4272637055886252,51,2300
2349,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Основа,La Mer,4273990712222247,7,300
2350,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Пудра,Pat McGrath Labs,5106381654588080,96,300
2351,DNS,"('59.8835274,30.370143', '10:22')",Холодильник,Radeon,4276870493414360,37,118395
2352,Gate31,"('59.9307242,30.345161', '18:45')",Пальто,Ghost,4274341908195851,8,9701
2353,Эльдорадо,"('59.94584125,30.480875', '16:34')",Планшет,BlackBerry,5106672786328179,63,25999
2354,Fab Store,"('59.9302169,30.3246437', '11:30')",Куртка,Maje,5404190876712076,79,4500
2355,Sephora,"('59.92824665,30.35999192', '16:15')",Тональник,Buxom,5106980212981370,28,1599
2356,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,Continental,4274600915069931,88,55805
2357,Подружка,"('59.9604693,30.3164542', '20:09')",Блеск,Guerlain,5106887656385689,27,1100
2358,Спортмастер,"('59.9128513,30.446262', '20:56')",Плавки,Rag & Bone,4274422702390715,50,200
2359,Рив Гош,"('59.990724,30.2053798', '19:44')",Маскара,NIOD,5106660918187337,12,599
2360,PiterGSM,"('59.9323949,30.3661284', '11:54')",Плеер и аудиотехника,Xiaomi,4279752852358699,77,2800
2361,PiterGSM,"('59.9323949,30.3661284', '11:54')",Кондиционер,Goodyear,5106787410254007,24,1999
2362,Подружка,"('59.9604693,30.3164542', '20:09')",Консилер,Caudalie,4279422548855408,38,500
2363,Эльдорадо,"('59.94584125,30.480875', '16:34')",Ноутбук,Kenwood,4274628784838246,24,125095
2364,Гум,"('59.9937587,30.1931236', '19:11')",Футболка,Patagonia,4272172292686640,46,5799
2365,Subbota,"('59.9538908,30.296822', '14:00')",Шарф,Hobbs,4274163359269816,23,1299
2366,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Парфюм,OFRA Cosmetics,5469858874171628,67,10005
2367,Fab Store,"('59.9302169,30.3246437', '11:30')",Платье,Tommy Hilfiger,5106376170905190,47,4999
2368,Paper Shop,"('59.7933155,30.3309104', '13:56')",Блузка,Converse,4279796117958257,46,500
2369,Эльдорадо,"('59.94584125,30.480875', '16:34')",Телевизор,Nokian,4274351030915200,22,171300
2370,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,BlackBerry,5106271876610675,78,105601
2371,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Помада,Peter Thomas Roth,4279991799444140,85,1
2372,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Гель,BareMinerals,5106326293512705,35,295
2373,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Консилер,Tarte Cosmetics,4273387891014337,57,1100
2374,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Помада,Filorga,5106634770790314,34,805
2375,DNS,"('59.8835274,30.370143', '10:22')",Кондиционер,Duraturn,5404799679634079,40,89699
2376,Fab Store,"('59.9302169,30.3246437', '11:30')",Ветровка,JW Anderson,4279730076796957,100,6505
2377,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Консилер,Buxom,5106922133835788,21,1005
2378,Stokmann,"('59.9325138,30.3597223', '17:57')",Жилет,Boden,4274161506059870,22,6499
2379,Familia,"('59.92634555,30.32030116', '11:53')",Пальто,Isabel Marant,4274857506981652,42,9305
2380,Рив Гош,"('59.990724,30.2053798', '19:44')",Маскара,Kiko Milano,4274617469592356,82,1400
2381,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Крем,Herbivore,4279458981707478,40,2799
2382,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Лосьон,Lierac,4279287646696158,82,1700
2383,М.Видео,"('59.9907784,30.2061089', '15:19')",Плеер и аудиотехника,Realme,4273272376868360,48,1600
2384,Спутник,"('59.9189277,30.346303', '12:43')",Парфюм,Huda Beauty,5106732566147706,60,4601
2385,Эльдорадо,"('59.94584125,30.480875', '16:34')",Телевизор,Kumho,4279688249211594,97,197205
2386,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Пудра,Too Faced,4272263759101567,9,2105
2387,Gate31,"('59.9307242,30.345161', '18:45')",Шорты,M&S Collection,4274225447649820,82,1000
2388,Paper Shop,"('59.7933155,30.3309104', '13:56')",Ветровка,Karen Millen,4274447389488595,62,295
2389,Sephora,"('59.92824665,30.35999192', '16:15')",Румяна,NYX Professional Makeup,5106602789032106,58,1799
2390,Familia,"('59.92634555,30.32030116', '11:53')",Ветровка,Rebecca Taylor,4276745386250196,60,8205
2391,Котофото,"('59.9252998,30.3170072', '16:42')",Планшет,Thermaltake,4276289056661799,43,14600
2392,Котофото,"('59.9252998,30.3170072', '16:42')",Плеер и аудиотехника,GIGABYTE,5189880480118082,31,1300
2393,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Румяна,Tarte Cosmetics,4279599576180704,90,2000
2394,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Крем,Anastasia Beverly Hills,4274509796497747,86,205
2395,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Маскара,Kiehl's,4279278910318836,9,701
2396,Подружка,"('59.9604693,30.3164542', '20:09')",Помада,Bite Beauty,5404247893063300,74,795
2397,Fab Store,"('59.9302169,30.3246437', '11:30')",Шорты,Seasalt Cornwall,4274566495947492,16,3700
2398,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,OnePlus,4274247563990656,24,21000
2399,Гум,"('59.9937587,30.1931236', '19:11')",Шляпа,White Stuff,5106913748166084,70,900
2400,Citilink,"('59.9992825,30.3597408', '19:16')",Принтер,Seasonic,5469470772105841,47,24505
2401,Sephora,"('59.92824665,30.35999192', '16:15')",Лосьон,Dermalogica,4274423168223632,33,101
2402,Gate31,"('59.9307242,30.345161', '18:45')",Платье,Simone Rocha,4272774022759142,88,1505
2403,Подружка,"('59.9604693,30.3164542', '20:09')",Парфюм,Tarte Cosmetics,4279980091341569,80,16405
2404,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Гель,Fenty Beauty,5106789991554653,66,901
2405,Code7,"('59.9595411,30.3145212', '11:19')",Костюм,Iro,5404847321757773,67,9099
2406,Гум,"('59.9937587,30.1931236', '19:11')",Куртка,Karen Millen,5404133914250106,98,2600
2407,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Основа,Dr. Dennis Gross Skincare,5106409154089305,8,2999
2408,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Румяна,Avene,5213536421012440,72,400
2409,Sephora,"('59.92824665,30.35999192', '16:15')",Парфюм,Sugarpill,5106360964233821,41,17099
2410,Спортмастер,"('59.9128513,30.446262', '20:56')",Свитер,Coast,4274983618874714,36,700
2411,Gate31,"('59.9307242,30.345161', '18:45')",Платье,Finery,5106372266980578,35,5999
2412,Code7,"('59.9595411,30.3145212', '11:19')",Бикини,Erdem,4274753940621811,61,1401
2413,Эльдорадо,"('59.94584125,30.480875', '16:34')",Смартфон,Frigidaire,5469136076916614,69,38301
2414,Citilink,"('59.9992825,30.3597408', '19:16')",Телевизор,Evergreen,5106826011687083,49,34295
2415,Citilink,"('59.9992825,30.3597408', '19:16')",Ноутбук,Firestone,5106348357019940,50,76295
2416,SMEG,"('59.9547305,30.3265232', '16:24')",Телевизор,Acer,4274295097776537,43,221400
2417,Familia,"('59.92634555,30.32030116', '11:53')",Футболка,AllSaints,5213277284914996,64,1501
2418,Familia,"('59.92634555,30.32030116', '11:53')",Пальто,Valentino,5106289582998848,76,11900
2419,М.Видео,"('59.9907784,30.2061089', '15:19')",Гарнитура,Evergreen,4279890749965175,52,3605
2420,Котофото,"('59.9252998,30.3170072', '16:42')",Плеер и аудиотехника,Siemens,5404326307515755,82,2895
2421,DNS,"('59.8835274,30.370143', '10:22')",Видеокамера,Nikon,4272491578859275,38,34800
2422,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,Canon,5106434221388773,82,27905
2423,Stokmann,"('59.9325138,30.3597223', '17:57')",Свитер,Hobbs,4274497941267509,49,2099
2424,Citilink mini,"('60.0474289,30.3748429', '10:37')",Стиральная машина,Gigabyte,5469675019010303,39,20801
2425,123.ru,"('59.90625125,29.70726325', '17:26')",Телевизор,Kumho,4279752617785756,62,98200
2426,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Лосьон,Benefit Cosmetics,5404913592776008,92,1200
2427,Sephora,"('59.92824665,30.35999192', '16:15')",Консилер,Clarins,5189162849532697,59,395
2428,Эльдорадо,"('59.94584125,30.480875', '16:34')",Телевизор,Kingston,4274285383430843,47,8701
2429,Stokmann,"('59.9325138,30.3597223', '17:57')",Футболка,Gap,4279780428074651,72,2999
2430,Технопарк,"('59.90775075,30.32520831', '21:03')",Пылесос,BFGoodrich,5469676940219930,46,7300
2431,Технопарк,"('59.90775075,30.32520831', '21:03')",Принтер,OnePlus,4276203195520316,78,32999
2432,Citilink,"('59.9992825,30.3597408', '19:16')",Смартфон,Cooper,4273657174613353,84,68500
2433,123.ru,"('59.90625125,29.70726325', '17:26')",Телевизор,HyperX,4274330380040877,68,65905
2434,Citilink,"('59.9992825,30.3597408', '19:16')",Монитор,Toyo,5106178300856079,45,5800
2435,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Линер,Maybelline,5404497904206119,10,800
2436,Citilink mini,"('60.0474289,30.3748429', '10:37')",Холодильник,AOC,4274140905178170,54,39399
2437,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Indesit,5106132152898296,35,6795
2438,DNS,"('59.8835274,30.370143', '10:22')",Стиральная машина,Whirlpool,5106948804352759,72,139699
2439,Familia,"('59.92634555,30.32030116', '11:53')",Платье,Vans,5404247305612020,71,1100
2440,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Румяна,Dermalogica,4279229049522015,13,95
2441,SMEG,"('59.9547305,30.3265232', '16:24')",Фотокамера,GoPro,4274972728578671,82,46600
2442,Технопарк,"('59.90775075,30.32520831', '21:03')",Гарнитура,HP,5106753172274754,91,2999
2443,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Основа,La Mer,5106953207221259,83,2195
2444,DNS,"('59.8835274,30.370143', '10:22')",Видеокамера,JBL,4274825787351430,53,37600
2445,Спортмастер,"('59.9128513,30.446262', '20:56')",Джинсы,Uniqlo,4272399592470542,36,5205
2446,Code7,"('59.9595411,30.3145212', '11:19')",Шляпа,Warehouse,4279818388770143,18,305
2447,SMEG,"('59.9547305,30.3265232', '16:24')",Планшет,Honor,5106840677244499,24,27595
2448,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Тональник,Burt's Bees,5106368850214070,63,4500
2449,Эльдорадо,"('59.94584125,30.480875', '16:34')",Холодильник,Zotac,5106914218452498,54,36200
2450,Рив Гош,"('59.990724,30.2053798', '19:44')",Крем,L'Occitane,5469275431949541,32,1405
2451,Stokmann,"('59.9325138,30.3597223', '17:57')",Шляпа,Zara,5106140541644757,59,1799
2452,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тушь,Lancôme,4279960707606393,8,1000
2453,М.Видео,"('59.9907784,30.2061089', '15:19')",Кондиционер,Thermaltake,5106312635786425,49,49201
2454,Рив Гош,"('59.990724,30.2053798', '19:44')",Консилер,Beauty Bakerie,4279707776606208,76,3399
2455,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Блеск,Becca Cosmetics,5106374852114027,70,599
2456,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Помада,Dior,5106359900560864,71,1199
2457,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Тушь,Marc Jacobs Beauty,4274257268426131,30,201
2458,Stokmann,"('59.9325138,30.3597223', '17:57')",Перчатки,Mother,4279332101914526,71,400
2459,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Гель,Zoeva,4274962496820448,59,0
2460,Технопарк,"('59.90775075,30.32520831', '21:03')",Видеокамера,LG,5106282214064702,54,27201
2461,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Шампунь,Dr. Dennis Gross Skincare,5106637863812625,20,105
2462,Subbota,"('59.9538908,30.296822', '14:00')",Шапка,Miss Selfridge,4274454312178945,7,700
2463,Citilink,"('59.9992825,30.3597408', '19:16')",Пылесос,Garmin,4274891735894836,70,8399
2464,Эльдорадо,"('59.94584125,30.480875', '16:34')",Кондиционер,Silverstone,5404807314656643,6,12800
2465,PiterGSM,"('59.9323949,30.3661284', '11:54')",Фотокамера,Pro Comp,4274386226165072,62,22501
2466,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Румяна,SkinCeuticals,5469514652052056,69,695
2467,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Основа,Kiehl's,4274514640055819,63,1900
2468,М.Видео,"('59.9907784,30.2061089', '15:19')",Принтер,Apollo,5106881003142824,68,14201
2469,Котофото,"('59.9252998,30.3170072', '16:42')",Плеер и аудиотехника,AOC,4272707900864048,58,2700
2470,PiterGSM,"('59.9323949,30.3661284', '11:54')",Плеер и аудиотехника,OnePlus,4274390997690035,35,3300
2471,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Блеск,Origins,5106300464885413,85,2499
2472,Fab Store,"('59.9302169,30.3246437', '11:30')",Шорты,Karen Millen,4279604758865900,15,3205
2473,Code7,"('59.9595411,30.3145212', '11:19')",Джинсы,White Stuff,5106929974154296,95,400
2474,Gate31,"('59.9307242,30.345161', '18:45')",Ветровка,Coast,4276148025966999,88,3305
2475,SMEG,"('59.9547305,30.3265232', '16:24')",Фотокамера,SteelSeries,4274714989599824,93,32500
2476,Fab Store,"('59.9302169,30.3246437', '11:30')",Штаны,True Religion,4273904057627175,96,5301
2477,Paper Shop,"('59.7933155,30.3309104', '13:56')",Рубашка,Lululemon,5469350504080949,88,1101
2478,DNS,"('59.8835274,30.370143', '10:22')",Пылесос,Fitbit,5106887097978131,10,10600
2479,Stokmann,"('59.9325138,30.3597223', '17:57')",Куртка,Karen Millen,5106488336763358,30,9595
2480,Code7,"('59.9595411,30.3145212', '11:19')",Блузка,Hobbs,5106849593087024,91,2699
2481,Подружка,"('59.9604693,30.3164542', '20:09')",Лосьон,Cinema Secrets,5106757578432447,53,400
2482,Code7,"('59.9595411,30.3145212', '11:19')",Куртка,ASOS,4279628163295233,44,5800
2483,Рив Гош,"('59.990724,30.2053798', '19:44')",Основа,Urban Decay,4279334786453362,53,1001
2484,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Основа,Fenty Beauty,5106973200027787,77,2201
2485,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Крем,Kiehl's,5106343359868489,43,1395
2486,PiterGSM,"('59.9323949,30.3661284', '11:54')",Смартфон,BenQ,4274317760795085,63,29200
2487,Отдел,"('60.04797585,30.26449915', '13:07')",Шорты,Lululemon,4279124789493523,58,395
2488,Paper Shop,"('59.7933155,30.3309104', '13:56')",Ветровка,Mary Katrantzou,5106415032438088,18,600
2489,123.ru,"('59.90625125,29.70726325', '17:26')",Холодильник,Aerocool,4273249627075437,74,6000
2490,DNS,"('59.8835274,30.370143', '10:22')",Кондиционер,AMD,5106486824205865,74,30600
2491,М.Видео,"('59.9907784,30.2061089', '15:19')",Видеокамера,Cooler Master,5404541814843316,43,71799
2492,Sephora,"('59.92824665,30.35999192', '16:15')",Помада,Maybelline,4273815782628862,20,1600
2493,Технопарк,"('59.90775075,30.32520831', '21:03')",Фотокамера,AOC,4279177184962874,67,41700
2494,PiterGSM,"('59.9323949,30.3661284', '11:54')",Пылесос,Aurora,5469416019731527,20,6495
2495,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,Filorga,5404389822808803,97,701
2496,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Пудра,Makeup Forever,4274479759163964,74,1500
2497,Code7,"('59.9595411,30.3145212', '11:19')",Жилет,Claudie Pierlot,4272402304516616,42,4699
2498,Sephora,"('59.92824665,30.35999192', '16:15')",Маскара,L'Occitane,5106831717583737,71,800
2499,Рив Гош,"('59.990724,30.2053798', '19:44')",Блеск,Tarte Cosmetics,4274327710093360,99,1195
2500,Fab Store,"('59.9302169,30.3246437', '11:30')",Свитер,Jigsaw,4279784777901777,63,3005
2501,Подружка,"('59.9604693,30.3164542', '20:09')",Шампунь,Charlotte Tilbury,4274972714847211,58,3000
2502,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Пудра,Yves Saint Laurent,4274689222990810,31,895
2503,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Тушь,Josie Maran,5106694886928140,23,595
2504,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Линер,Burberry Beauty,4273578965476435,50,1405
2505,Рив Гош,"('59.990724,30.2053798', '19:44')",Парфюм,SkinCeuticals,5106816324823914,89,1405
2506,Спутник,"('59.9189277,30.346303', '12:43')",Шампунь,Eucerin,5106236981239110,91,1099
2507,Котофото,"('59.9252998,30.3170072', '16:42')",Монитор,Evergreen,4279467101043578,61,1501
2508,Гум,"('59.9937587,30.1931236', '19:11')",Шапка,Moschino,4274930153161528,10,699
2509,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Помада,Murad,4274884016239747,23,1801
2510,Спутник,"('59.9189277,30.346303', '12:43')",Лосьон,Kopari Beauty,5106872655637595,80,800
2511,Subbota,"('59.9538908,30.296822', '14:00')",Шорты,Current/Elliott,4279477390327821,50,3395
2512,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Помада,Charlotte Tilbury,4274729214230961,35,400
2513,Citilink mini,"('60.0474289,30.3748429', '10:37')",Телевизор,Pro Comp,5106744434189710,36,30100
2514,Спортмастер,"('59.9128513,30.446262', '20:56')",Костюм,AllSaints,5213692974379238,85,4601
2515,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Шампунь,Estée Lauder,4274583838235250,25,900
2516,Рив Гош,"('59.990724,30.2053798', '19:44')",Маскара,NYX Professional Makeup,5469533870361764,41,1295
2517,SMEG,"('59.9547305,30.3265232', '16:24')",Смартфон,Garmin,5106689232289525,98,82305
2518,Отдел,"('60.04797585,30.26449915', '13:07')",Шарф,Warehouse,4274814506959919,45,105
2519,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,Bite Beauty,5404953391275267,35,1405
2520,Stokmann,"('59.9325138,30.3597223', '17:57')",Блузка,Isabel Marant,4279892444195681,39,2001
2521,Гум,"('59.9937587,30.1931236', '19:11')",Юбка,Balenciaga,5469385632096889,27,3199
2522,Отдел,"('60.04797585,30.26449915', '13:07')",Рубашка,Saks Potts,4274344968137501,18,4205
2523,Gate31,"('59.9307242,30.345161', '18:45')",Футболка,3.1 Phillip Lim,4279606951339868,45,1101
2524,Технопарк,"('59.90775075,30.32520831', '21:03')",Стиральная машина,Western Digital,5106985571148503,21,4199
2525,Code7,"('59.9595411,30.3145212', '11:19')",Бикини,Jaeger,4279317633593029,8,4300
2526,Citilink,"('59.9992825,30.3597408', '19:16')",Принтер,Aurora,4279801858449052,50,2405
2527,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Гель,Zoeva,4274908102222833,98,601
2528,Sephora,"('59.92824665,30.35999192', '16:15')",Консилер,Avene,5106814036081764,62,200
2529,Спутник,"('59.9189277,30.346303', '12:43')",Маскара,Glossier,5106418697587046,30,3900
2530,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Ceat,5106468886611175,42,41000
2531,PiterGSM,"('59.9323949,30.3661284', '11:54')",Гарнитура,Vredestein,5106597328200826,35,2199
2532,Отдел,"('60.04797585,30.26449915', '13:07')",Пальто,Zadig & Voltaire,4274381193748736,55,13600
2533,Familia,"('59.92634555,30.32030116', '11:53')",Блузка,Ted Baker,4274531730032075,88,3801
2534,Subbota,"('59.9538908,30.296822', '14:00')",Бикини,Off-White,5106872555695238,37,1200
2535,Гум,"('59.9937587,30.1931236', '19:11')",Джинсы,Mango,5404466630120061,79,6000
2536,Спортмастер,"('59.9128513,30.446262', '20:56')",Куртка,Rick Owens,4274153222260418,34,5899
2537,Гум,"('59.9937587,30.1931236', '19:11')",Шляпа,Joseph,5106298730872782,99,5
2538,PiterGSM,"('59.9323949,30.3661284', '11:54')",Гарнитура,Insa Turbo,4279729100678217,62,395
2539,Code7,"('59.9595411,30.3145212', '11:19')",Джинсы,French Connection,5106408111942105,23,900
2540,Спортмастер,"('59.9128513,30.446262', '20:56')",Рубашка,Loewe,4279617924097043,74,2505
2541,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Scotch & Soda,5469783460667259,91,2299
2542,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,Kiehl's,5106869389369048,21,799
2543,Отдел,"('60.04797585,30.26449915', '13:07')",Шляпа,Dsquared2,4276182084586311,76,900
2544,Code7,"('59.9595411,30.3145212', '11:19')",Юбка,Baukjen,4274743675823768,86,1095
2545,Subbota,"('59.9538908,30.296822', '14:00')",Костюм,AG Jeans,5469848459885435,61,2501
2546,Code7,"('59.9595411,30.3145212', '11:19')",Шарф,Timberland,4274316092225094,55,501
2547,Stokmann,"('59.9325138,30.3597223', '17:57')",Шарф,Baukjen,5469553880066043,20,1
2548,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Крем,OFRA Cosmetics,5106211019907119,28,1299
2549,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Линер,RMS Beauty,5106837150769572,55,400
2550,Subbota,"('59.9538908,30.296822', '14:00')",Пальто,Christian Louboutin,4279227537209431,19,10400
2551,Котофото,"('59.9252998,30.3170072', '16:42')",Монитор,Biostar,5106461347815518,36,10001
2552,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Тональник,Kiko Milano,4274169652014146,54,3599
2553,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Пудра,BareMinerals,4279580244350664,6,1505
2554,Подружка,"('59.9604693,30.3164542', '20:09')",Крем,Bioderma,4274276365006574,59,1595
2555,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,Embryolisse,4274279462171517,25,95
2556,Технопарк,"('59.90775075,30.32520831', '21:03')",Смартфон,Bosch,5106666628439383,56,4395
2557,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тональник,Laura Mercier,5106281950397951,38,201
2558,Эльдорадо,"('59.94584125,30.480875', '16:34')",Ноутбук,Thermaltake,5404342708836061,99,30995
2559,Гум,"('59.9937587,30.1931236', '19:11')",Пальто,Roksanda,5106540991252283,32,3199
2560,Stokmann,"('59.9325138,30.3597223', '17:57')",Пальто,Coast,4272982560306113,9,2499
2561,123.ru,"('59.90625125,29.70726325', '17:26')",Плеер и аудиотехника,EVGA,5106835243090970,100,1705
